id,name,associated groups,url,first_seen,last_seen
G0115,GOLD SOUTHFIELD,Pinchy Spider,https://attack.mitre.org/groups/G0115,2020-09-22,2023-03-28
G0078,Gorgon Group,,https://attack.mitre.org/groups/G0078,2018-10-17,2021-10-12
G0043,Group5,,https://attack.mitre.org/groups/G0043,2017-05-31,2024-04-11
G0125,HAFNIUM,"Operation Exchange Marauder, Silk Typhoon",https://attack.mitre.org/groups/G0125,2021-03-03,2024-01-08
G1001,HEXANE,"Lyceum, Siamesekitten, Spirlin",https://attack.mitre.org/groups/G1001,2018-10-17,2024-02-09
G0126,Higaisa,,https://attack.mitre.org/groups/G0126,2021-03-05,2024-04-11
G0100,Inception,"Cloud Atlas, Inception Framework",https://attack.mitre.org/groups/G0100,2020-05-08,2024-04-11
G0136,IndigoZebra,,https://attack.mitre.org/groups/G0136,2021-09-24,2021-10-16
G0119,Indrik Spider,"DEV-0243, Evil Corp, Manatee Tempest",https://attack.mitre.org/groups/G0119,2021-01-06,2024-04-17
G0004,Ke3chang,"APT15, GREF, Mirage, NICKEL, Nylon Typhoon, Playful Dragon, RoyalAPT, Vixen Panda",https://attack.mitre.org/groups/G0004,2017-05-31,2024-01-08
G0094,Kimsuky,"Black Banshee, Emerald Sleet, THALLIUM, Velvet Chollima",https://attack.mitre.org/groups/G0094,2019-08-26,2024-04-17
G1004,LAPSUS$,"DEV-0537, Strawberry Tempest",https://attack.mitre.org/groups/G1004,2022-06-09,2024-01-11
G0032,Lazarus Group,"Diamond Sleet, Guardians of Peace, HIDDEN COBRA, Labyrinth Chollima, NICKEL ACADEMY, ZINC",https://attack.mitre.org/groups/G0032,2017-05-31,2024-04-11
G0140,LazyScripter,,https://attack.mitre.org/groups/G0140,2021-11-24,2023-03-22
G0077,Leafminer,Raspite,https://attack.mitre.org/groups/G0077,2018-10-17,2023-03-22
G0065,Leviathan,"APT40, BRONZE MOHAWK, Gadolinium, Gingham Typhoon, Kryptonite Panda, MUDCARP, TEMP.Jumper, TEMP.Periscope",https://attack.mitre.org/groups/G0065,2018-04-18,2024-01-08
G0030,Lotus Blossom,"DRAGONFISH, RADIUM, Raspberry Typhoon, Spring Dragon",https://attack.mitre.org/groups/G0030,2017-05-31,2024-01-08
G1014,LuminousMoth,,https://attack.mitre.org/groups/G1014,2023-02-23,2023-04-17
G0095,Machete,"APT-C-43, El Machete",https://attack.mitre.org/groups/G0095,2019-09-13,2021-10-06
G0059,Magic Hound,"APT35, COBALT ILLUSION, Charming Kitten, ITG18, Mint Sandstorm, Newscaster, Phosphorus, TA453",https://attack.mitre.org/groups/G0059,2018-01-16,2024-01-08
G1026,Malteiro,,https://attack.mitre.org/groups/G1026,2024-03-13,2024-03-29
G0045,menuPass,"APT10, BRONZE RIVERSIDE, CVNX, Cicada, HOGFISH, POTASSIUM, Red Apollo, Stone Panda",https://attack.mitre.org/groups/G0045,2017-05-31,2024-04-11
G1013,Metador,,https://attack.mitre.org/groups/G1013,2023-01-25,2024-04-11
G0002,Moafee,,https://attack.mitre.org/groups/G0002,2017-05-31,2020-03-30
G0103,Mofang,,https://attack.mitre.org/groups/G0103,2020-05-12,2024-04-11
G0021,Molerats,"Gaza Cybergang, Operation Molerats",https://attack.mitre.org/groups/G0021,2017-05-31,2024-04-11
G1009,Moses Staff,"DEV-0500, Marigold Sandstorm",https://attack.mitre.org/groups/G1009,2022-08-11,2024-04-11
G1019,MoustachedBouncer,,https://attack.mitre.org/groups/G1019,2023-09-25,2023-09-26
G0069,MuddyWater,"Earth Vetala, MERCURY, Mango Sandstorm, Seedworm, Static Kitten, TA450, TEMP.Zagros",https://attack.mitre.org/groups/G0069,2018-04-18,2024-04-17
G0129,Mustang Panda,"BRONZE PRESIDENT, RedDelta, TA416",https://attack.mitre.org/groups/G0129,2021-04-12,2023-03-22
G1020,Mustard Tempest,"DEV-0206, GOLD PRELUDE, TA569, UNC1543",https://attack.mitre.org/groups/G1020,2023-12-06,2024-03-25
G0019,Naikon,,https://attack.mitre.org/groups/G0019,2017-05-31,2021-08-19
G0055,NEODYMIUM,,https://attack.mitre.org/groups/G0055,2018-01-16,2019-03-25
G0133,Nomadic Octopus,DustSquad,https://attack.mitre.org/groups/G0133,2021-08-24,2022-09-02
G0049,OilRig,"APT34, COBALT GYPSY, EUROPIUM, Evasive Serpens, Hazel Sandstorm, Helix Kitten, IRN2",https://attack.mitre.org/groups/G0049,2017-12-14,2024-04-11
G0071,Orangeworm,,https://attack.mitre.org/groups/G0071,2018-10-17,2024-04-10
G0040,Patchwork,"Chinastrats, Dropping Elephant, Hangover Group, MONSOON, Operation Hangover",https://attack.mitre.org/groups/G0040,2017-05-31,2023-03-22
G0011,PittyTiger,,https://attack.mitre.org/groups/G0011,2017-05-31,2021-10-12
G0068,PLATINUM,,https://attack.mitre.org/groups/G0068,2018-04-18,2021-04-22
G1005,POLONIUM,Plaid Rain,https://attack.mitre.org/groups/G1005,2022-07-01,2024-01-08
G0033,Poseidon Group,,https://attack.mitre.org/groups/G0033,2017-05-31,2020-03-18
G0056,PROMETHIUM,StrongPity,https://attack.mitre.org/groups/G0056,2018-01-16,2024-04-19
G0024,Putter Panda,"APT2, MSUpdater",https://attack.mitre.org/groups/G0024,2017-05-31,2024-04-11
G0075,Rancor,,https://attack.mitre.org/groups/G0075,2018-10-17,2024-02-09
G0106,Rocke,,https://attack.mitre.org/groups/G0106,2020-05-26,2020-06-19
G0048,RTM,,https://attack.mitre.org/groups/G0048,2017-05-31,2020-05-12
G0034,Sandworm Team,"BlackEnergy (Group), ELECTRUM, FROZENBARENTS, IRIDIUM, IRON VIKING, Quedagh, Seashell Blizzard, Telebots, Voodoo Bear",https://attack.mitre.org/groups/G0034,2017-05-31,2024-04-06
G0029,Scarlet Mimic,,https://attack.mitre.org/groups/G0029,2017-05-31,2020-03-30
G1015,Scattered Spider,"Octo Tempest, Roasted 0ktapus, Storm-0875",https://attack.mitre.org/groups/G1015,2023-07-05,2024-04-04
G1008,SideCopy,,https://attack.mitre.org/groups/G1008,2022-08-07,2022-10-24
G0121,Sidewinder,"Rattlesnake, T-APT-04",https://attack.mitre.org/groups/G0121,2021-01-27,2024-04-11
G0091,Silence,Whisper Spider,https://attack.mitre.org/groups/G0091,2019-05-24,2023-03-22
G0122,Silent Librarian,"COBALT DICKENS, TA407",https://attack.mitre.org/groups/G0122,2021-02-03,2021-04-21
G0083,SilverTerrier,,https://attack.mitre.org/groups/G0083,2019-01-29,2023-09-27
G0054,Sowbug,,https://attack.mitre.org/groups/G0054,2018-01-16,2020-03-30
G0038,Stealth Falcon,,https://attack.mitre.org/groups/G0038,2017-05-31,2020-11-23
G0041,Strider,ProjectSauron,https://attack.mitre.org/groups/G0041,2017-05-31,2020-06-29
G0039,Suckfly,,https://attack.mitre.org/groups/G0039,2017-05-31,2022-04-15
G1018,TA2541,,https://attack.mitre.org/groups/G1018,2023-09-12,2024-04-10
G0062,TA459,,https://attack.mitre.org/groups/G0062,2018-04-18,2020-03-30
G0092,TA505,"CHIMBORAZO, Hive0065, Spandex Tempest",https://attack.mitre.org/groups/G0092,2019-05-28,2024-04-10
G0127,TA551,"GOLD CABIN, Shathak",https://attack.mitre.org/groups/G0127,2021-03-19,2023-03-22
G0139,TeamTNT,,https://attack.mitre.org/groups/G0139,2021-10-01,2024-04-10
G0088,TEMP.Veles,XENOTIME,https://attack.mitre.org/groups/G0088,2019-04-16,2024-04-17
G0089,The White Company,,https://attack.mitre.org/groups/G0089,2019-05-02,2020-03-30
G0028,Threat Group-1314,TG-1314,https://attack.mitre.org/groups/G0028,2017-05-31,2020-03-19
G0027,Threat Group-3390,"APT27, BRONZE UNION, Earth Smilodon, Emissary Panda, Iron Tiger, LuckyMouse, TG-3390",https://attack.mitre.org/groups/G0027,2017-05-31,2024-04-10
G0076,Thrip,,https://attack.mitre.org/groups/G0076,2018-10-17,2021-10-12
G1022,ToddyCat,,https://attack.mitre.org/groups/G1022,2024-01-03,2024-02-14
G0131,Tonto Team,"BRONZE HUNTLEY, CactusPete, Earth Akhlut, Karma Panda",https://attack.mitre.org/groups/G0131,2021-05-05,2022-01-27
G0134,Transparent Tribe,"APT36, COPPER FIELDSTONE, Mythic Leopard, ProjectM",https://attack.mitre.org/groups/G0134,2021-09-02,2024-04-10
G0081,Tropic Trooper,"KeyBoy, Pirate Panda",https://attack.mitre.org/groups/G0081,2019-01-29,2024-04-18
