,ttp,total_cwes,mitigated_cwes,unmitigated_cwes,mitigation_ratio
59,T1136,23,"['CWE-276', 'CWE-787', 'CWE-89', 'CWE-787', 'CWE-521', 'CWE-287', 'CWE-89', 'CWE-787', 'CWE-416', 'CWE-787', 'CWE-787', 'CWE-284', 'CWE-94']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-264']",0.5652173913043478
60,T1149,1,[],['NVD-CWE-noinfo'],0.0
61,T1185,23,"['CWE-79', 'CWE-79', 'CWE-79', 'CWE-80', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-74', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79']",['CWE-346'],0.9565217391304348
62,T1189,107,"['CWE-79', 'CWE-362', 'CWE-416', 'CWE-79', 'CWE-684', 'CWE-79', 'CWE-122', 'CWE-384', 'CWE-79', 'CWE-787', 'CWE-416', 'CWE-862', 'CWE-94', 'CWE-787', 'CWE-787', 'CWE-22', 'CWE-829', 'CWE-787', 'CWE-125', 'CWE-330', 'CWE-131', 'CWE-787', 'CWE-787', 'CWE-352', 'CWE-416', 'CWE-787', 'CWE-502', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-79', 'CWE-601', 'CWE-79', 'CWE-20', 'CWE-20', 'CWE-352', 'CWE-79', 'CWE-434', 'CWE-787', 'CWE-404', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-79', 'CWE-79', 'CWE-119', 'CWE-119', 'CWE-89', 'CWE-200', 'CWE-20', 'CWE-200', 'CWE-284', 'CWE-20', 'CWE-284', 'CWE-20', 'CWE-119', 'CWE-416', 'CWE-416', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-416', 'CWE-200', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-416', 'CWE-119', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-119', 'CWE-94', 'CWE-78', 'CWE-78', 'CWE-94', 'CWE-119', 'CWE-94', 'CWE-94', 'CWE-94']","['CWE-843', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-843', 'NVD-CWE-noinfo', 'CWE-264', 'CWE-310', 'NVD-CWE-noinfo', 'CWE-399', 'CWE-264', 'CWE-264', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-255', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'NVD-CWE-noinfo']",0.7663551401869159
63,T1190,199,"['CWE-306', 'CWE-863', 'CWE-22', 'CWE-306', 'CWE-862', 'CWE-22', 'CWE-295', 'CWE-93', 'CWE-684', 'CWE-532', 'CWE-862', 'CWE-122', 'CWE-200', 'CWE-200', 'CWE-787', 'CWE-125', 'CWE-119', 'CWE-89', 'CWE-400', 'CWE-732', 'CWE-20', 'CWE-20', 'CWE-434', 'CWE-502', 'CWE-79', 'CWE-434', 'CWE-787', 'CWE-119', 'CWE-787', 'CWE-22', 'CWE-193', 'CWE-200', 'CWE-295', 'CWE-787', 'CWE-22', 'CWE-787', 'CWE-787', 'CWE-400', 'CWE-20', 'CWE-20', 'CWE-20', 'CWE-400', 'CWE-20', 'CWE-20', 'CWE-22', 'CWE-476', 'CWE-284', 'CWE-74', 'CWE-20', 'CWE-665', 'CWE-20', 'CWE-22', 'CWE-20', 'CWE-78', 'CWE-94', 'CWE-22', 'CWE-78', 'CWE-119', 'CWE-330', 'CWE-22', 'CWE-521', 'CWE-20', 'CWE-20', 'CWE-20', 'CWE-203', 'CWE-400', 'CWE-20', 'CWE-352', 'CWE-20', 'CWE-20', 'CWE-306', 'CWE-89', 'CWE-203', 'CWE-798', 'CWE-20', 'CWE-20', 'CWE-119', 'CWE-732', 'CWE-494', 'CWE-770', 'CWE-20', 'CWE-404', 'CWE-20', 'CWE-502', 'CWE-502', 'CWE-415', 'CWE-434', 'CWE-425', 'CWE-20', 'CWE-287', 'CWE-200', 'CWE-22', 'CWE-79', 'CWE-20', 'CWE-538', 'CWE-287', 'CWE-22', 'CWE-89', 'CWE-552', 'CWE-119', 'CWE-119', 'CWE-502', 'CWE-20', 'CWE-94', 'CWE-20', 'CWE-119', 'CWE-77', 'CWE-119', 'CWE-79', 'CWE-22', 'CWE-287', 'CWE-20', 'CWE-284', 'CWE-94', 'CWE-89', 'CWE-94', 'CWE-77', 'CWE-94', 'CWE-22', 'CWE-94', 'CWE-119', 'CWE-798', 'CWE-119', 'CWE-78', 'CWE-78', 'CWE-78', 'CWE-20', 'CWE-200', 'CWE-200', 'CWE-22', 'CWE-20', 'CWE-776', 'CWE-79', 'CWE-20', 'CWE-78', 'CWE-94', 'CWE-89', 'CWE-79', 'CWE-287', 'CWE-120', 'CWE-119', 'CWE-119', 'CWE-79', 'CWE-20', 'CWE-119', 'CWE-119', 'CWE-79', 'CWE-22', 'CWE-79']","['NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-704', 'CWE-669', 'CWE-264', 'NVD-CWE-noinfo', 'CWE-189', 'NVD-CWE-Other', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-264', 'CWE-310', 'NVD-CWE-Other', 'CWE-264', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'CWE-255', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-264']",0.7487437185929648
64,T1190 ,2,"['CWE-190', 'CWE-294']",[],1.0
65,T1200,2,['CWE-119'],['NVD-CWE-noinfo'],0.5
66,T1202,4,"['CWE-59', 'CWE-22', 'CWE-22']",['CWE-399'],0.75
67,T1203,182,"['CWE-787', 'CWE-22', 'CWE-787', 'CWE-190', 'CWE-787', 'CWE-787', 'CWE-416', 'CWE-94', 'CWE-862', 'CWE-434', 'CWE-787', 'CWE-119', 'CWE-787', 'CWE-295', 'CWE-787', 'CWE-22', 'CWE-119', 'CWE-416', 'CWE-787', 'CWE-330', 'CWE-131', 'CWE-125', 'CWE-829', 'CWE-119', 'CWE-352', 'CWE-416', 'CWE-787', 'CWE-502', 'CWE-134', 'CWE-415', 'CWE-502', 'CWE-502', 'CWE-787', 'CWE-416', 'CWE-22', 'CWE-78', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-190', 'CWE-434', 'CWE-787', 'CWE-404', 'CWE-20', 'CWE-119', 'CWE-22', 'CWE-787', 'CWE-79', 'CWE-787', 'CWE-787', 'CWE-22', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-134', 'CWE-119', 'CWE-20', 'CWE-89', 'CWE-416', 'CWE-119', 'CWE-119', 'CWE-20', 'CWE-284', 'CWE-119', 'CWE-20', 'CWE-787', 'CWE-284', 'CWE-90', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-416', 'CWE-119', 'CWE-284', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-426', 'CWE-119', 'CWE-79', 'CWE-416', 'CWE-119', 'CWE-119', 'CWE-416', 'CWE-200', 'CWE-94', 'CWE-119', 'CWE-20', 'CWE-78', 'CWE-119', 'CWE-119', 'CWE-416', 'CWE-119', 'CWE-78', 'CWE-119', 'CWE-20', 'CWE-94', 'CWE-119', 'CWE-119', 'CWE-94', 'CWE-119', 'CWE-94', 'CWE-89', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-119', 'CWE-78', 'CWE-78', 'CWE-94', 'CWE-119', 'CWE-94', 'CWE-20', 'CWE-119', 'CWE-94', 'CWE-94', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-94', 'CWE-94', 'CWE-119']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-843', 'NVD-CWE-noinfo', 'CWE-843', 'CWE-843', 'NVD-CWE-noinfo', 'CWE-824', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-843', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'CWE-264', 'CWE-189', 'NVD-CWE-noinfo', 'CWE-310', 'CWE-399', 'CWE-264', 'CWE-264', 'CWE-19', 'NVD-CWE-noinfo', 'CWE-254', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-255', 'CWE-264', 'CWE-399', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'NVD-CWE-noinfo', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-189', 'CWE-189', 'NVD-CWE-noinfo', 'CWE-399', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399', 'CWE-264', 'NVD-CWE-noinfo']",0.6758241758241759
68,T1204,1,[],['CWE-290'],0.0
