ttp,cves,CWE-ID
T1078 ,"CVE-2020-15105, CVE-2019-6549, CVE-2019-3763, CVE-2018-17900","CWE-312, CWE-522, CWE-532, CWE-522"
T1078.001,"CVE-2020-5231, CVE-2020-5365, CVE-2020-5374, CVE-2020-14510, CVE-2020-5364, CVE-2019-10990, CVE-2018-11062, CVE-2018-15771, CVE-2018-10633","CWE-276, CWE-330, CWE-798, CWE-798, CWE-200, CWE-798, CWE-798, CWE-200, CWE-798"
T1078.003,CVE-2011-3172,CWE-264
T1080,CVE-2020-3126,CWE-20
T1083,"CVE-2019-3396, CVE-2019-11510, CVE-2018-10590, CVE-2017-12637, CVE-2017-6922, CVE-2016-3298, CVE-2013-0629, CVE-2013-1904","CWE-22, CWE-22, CWE-538, CWE-22, CWE-552, CWE-200, CWE-264, CWE-22"
T1087,CVE-2013-6129,CWE-264
T1091,"CVE-2020-4068, CVE-2020-12024, CVE-2020-3198, CVE-2020-7456, CVE-2020-12464, CVE-2020-15393, CVE-2020-9804, CVE-2019-15959, CVE-2018-15376, CVE-2015-1769","CWE-122, NVD-CWE-Other, CWE-787, CWE-119, CWE-416, CWE-401, NVD-CWE-noinfo, CWE-20, CWE-123, CWE-264"
T1098,"CVE-2020-5362, CVE-2020-5350, CVE-2020-0758, CVE-2019-3775, CVE-2019-3787, CVE-2019-3782, CVE-2019-1915, CVE-2019-15956","CWE-862, CWE-78, NVD-CWE-noinfo, CWE-287, CWE-640, CWE-522, CWE-352, NVD-CWE-Other"
T1105,"CVE-2019-1689, CVE-2019-1620","CWE-20, CWE-22"
T1110,"CVE-2020-5365, CVE-2020-11035, CVE-2020-15093, CVE-2020-11957, CVE-2019-18263, CVE-2019-11219, CVE-2019-19735, CVE-2019-1715, CVE-2019-6563, CVE-2019-16782, CVE-2018-12520, CVE-2018-1956, CVE-2018-11069, CVE-2018-15800, CVE-2018-8160, CVE-2018-11045, CVE-2018-15795","CWE-330, CWE-327, CWE-347, CWE-331, CWE-326, CWE-330, CWE-916, CWE-332, CWE-916, CWE-203, CWE-335, CWE-521, CWE-327, CWE-200, CWE-200, CWE-330, CWE-338"
T1110.001,CVE-2019-18872,CWE-521
T1114.001,CVE-2020-9819,CWE-787
T1133,"CVE-2020-11010, CVE-2020-15143, CVE-2020-12029, CVE-2020-5295, CVE-2020-5225, CVE-2020-15109, CVE-2020-4068, CVE-2020-15147, CVE-2020-15188, CVE-2020-15140, CVE-2020-12000, CVE-2020-10603, CVE-2020-3309, CVE-2020-3198, CVE-2020-3240, CVE-2020-3387, CVE-2020-3237, CVE-2019-11708, CVE-2019-18234, CVE-2019-11510, CVE-2019-15821, CVE-2019-15998, CVE-2019-1836, CVE-2019-1612, CVE-2019-1942, CVE-2019-15972, CVE-2019-15288, CVE-2018-15444, CVE-2018-7506, CVE-2018-19007, CVE-2018-11048, CVE-2016-5180, CVE-2016-6367, CVE-2015-7935, CVE-2014-0751, CVE-2014-9938, CVE-2012-5958, CVE-2010-2772","CWE-89, CWE-917, CWE-20, CWE-98, CWE-532, CWE-862, CWE-122, CWE-74, CWE-502, CWE-74, CWE-502, CWE-78, CWE-787, CWE-787, CWE-20, CWE-20, CWE-59, CWE-20, CWE-89, CWE-22, NVD-CWE-noinfo, CWE-862, CWE-59, CWE-78, CWE-89, CWE-89, CWE-20, CWE-611, CWE-200, CWE-78, CWE-611, CWE-787, NVD-CWE-Other, CWE-200, CWE-22, CWE-116, CWE-119, CWE-255"
T1133 ,CVE-2020-15189,CWE-434
T1134,CVE-2020-0981,CWE-863
T1134.001,CVE-2016-7256,CWE-284
T1134.001.,CVE-2015-1701,CWE-264
T1136,"CVE-2020-5231, CVE-2020-1569, CVE-2020-16874, CVE-2020-1109, CVE-2020-1495, CVE-2020-1111, CVE-2020-0671, CVE-2020-11010, CVE-2019-1118, CVE-2019-0609, CVE-2019-15821, CVE-2019-3758, CVE-2019-3798, CVE-2019-18234, CVE-2018-8248, CVE-2018-8111, CVE-2018-8575, CVE-2018-8353, CVE-2018-8355, CVE-2018-8110, CVE-2015-4051, CVE-2014-4148, CVE-2013-6129","CWE-276, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-89, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-521, CWE-287, CWE-89, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-416, CWE-787, CWE-787, CWE-284, CWE-94, CWE-264"
T1149,CVE-2019-15821,NVD-CWE-noinfo
T1185,"CVE-2020-15179, CVE-2020-15183, CVE-2020-15162, CVE-2020-5267, CVE-2020-11083, CVE-2020-5340, CVE-2020-5241, CVE-2020-5339, CVE-2020-5217, CVE-2020-5283, CVE-2020-11055, CVE-2020-15118, CVE-2020-11036, CVE-2020-3460, CVE-2019-13538, CVE-2019-18571, CVE-2019-18578, CVE-2019-3708, CVE-2018-11073, CVE-2018-11059, CVE-2018-11075, CVE-2015-6475, CVE-2011-3056","CWE-79, CWE-79, CWE-79, CWE-80, CWE-79, CWE-79, CWE-79, CWE-79, CWE-74, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-346"
