ttp,cves,CWE-ID
T1499.004,"CVE-2020-11044, CVE-2020-15199, CVE-2020-1569, CVE-2020-16874, CVE-2020-1495, CVE-2020-11039, CVE-2020-11068, CVE-2020-1109, CVE-2020-8649, CVE-2020-5253, CVE-2020-12652, CVE-2020-15137, CVE-2020-11019, CVE-2020-15208, CVE-2020-15208, CVE-2020-4068, CVE-2020-5210, CVE-2020-1425, CVE-2020-11090, CVE-2020-15100, CVE-2020-10602, CVE-2020-12655, CVE-2020-11668, CVE-2020-12653, CVE-2020-11608, CVE-2020-12769, CVE-2020-11884, CVE-2020-12888, CVE-2020-14059, CVE-2020-3292, CVE-2020-8648, CVE-2020-0671, CVE-2020-3198, CVE-2020-3322, CVE-2020-3397, CVE-2020-3510, CVE-2020-9804, CVE-2020-3409, CVE-2020-13125, CVE-2020-12038, CVE-2020-0898, CVE-2020-3407, CVE-2019-1118, CVE-2019-0576, CVE-2019-0911, CVE-2019-8540, CVE-2019-0604, CVE-2019-11869, CVE-2019-16302, CVE-2019-13510, CVE-2019-1106, CVE-2019-1035, CVE-2019-0926, CVE-2019-0609, CVE-2019-1052, CVE-2019-15276, CVE-2019-1746, CVE-2019-15289, CVE-2019-1594, CVE-2019-6538, CVE-2019-6538, CVE-2019-10980, CVE-2019-6522, CVE-2018-15376, CVE-2018-15392, CVE-2018-8414, CVE-2018-14679, CVE-2018-15454, CVE-2018-21091, CVE-2018-19207, CVE-2018-8110, CVE-2018-8111, CVE-2018-7499, CVE-2018-8248, CVE-2018-8353, CVE-2018-18987, CVE-2018-11048, CVE-2018-10636, CVE-2018-7494, CVE-2018-10610, CVE-2018-14809, CVE-2018-8355, CVE-2017-9142, CVE-2017-9142, CVE-2017-10910, CVE-2017-10810, CVE-2017-14486, CVE-2016-5180, CVE-2016-0034, CVE-2015-4051, CVE-2015-2426, CVE-2015-7756, CVE-2014-7187, CVE-2014-3413, CVE-2013-4854, CVE-2013-4335, CVE-2012-1675, CVE-2011-4862, CVE-2011-1752","CWE-415, CWE-20, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-190, CWE-120, NVD-CWE-noinfo, CWE-416, CWE-269, CWE-362, CWE-190, CWE-125, CWE-787, CWE-125, CWE-122, CWE-120, NVD-CWE-noinfo, CWE-400, CWE-770, CWE-476, CWE-400, CWE-476, CWE-787, CWE-476, CWE-662, CWE-362, CWE-755, CWE-662, CWE-787, CWE-416, NVD-CWE-noinfo, CWE-787, CWE-20, CWE-20, CWE-400, NVD-CWE-noinfo, CWE-400, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-476, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-787, CWE-665, CWE-20, CWE-79, CWE-755, CWE-416, CWE-787, NVD-CWE-noinfo, CWE-787, CWE-787, CWE-787, CWE-20, CWE-20, CWE-20, CWE-20, CWE-862, CWE-306, CWE-843, CWE-125, CWE-123, NVD-CWE-noinfo, CWE-20, CWE-193, CWE-20, CWE-755, CWE-425, CWE-787, CWE-787, CWE-787, NVD-CWE-noinfo, CWE-416, CWE-502, CWE-611, CWE-787, CWE-119, CWE-787, CWE-416, CWE-787, CWE-20, CWE-617, CWE-674, CWE-772, CWE-319, CWE-787, CWE-20, CWE-284, CWE-119, CWE-310, CWE-119, CWE-798, NVD-CWE-noinfo, CWE-776, CWE-264, CWE-120, CWE-476"
T1505,CVE-2014-4148,CWE-94
T1505.003,"CVE-2020-12029, CVE-2020-5297, CVE-2020-15189, CVE-2020-11010, CVE-2020-3240, CVE-2019-18234, CVE-2018-15961, CVE-2018-2894, CVE-2016-3088, CVE-2013-5576, CVE-2012-6498, CVE-2012-6081, CVE-2011-4106","CWE-20, CWE-73, CWE-434, CWE-89, CWE-20, CWE-89, CWE-434, NVD-CWE-noinfo, CWE-20, CWE-20, NVD-CWE-Other, NVD-CWE-Other, CWE-20"
T1518,CVE-2016-3351,CWE-200
T1518.001,CVE-2017-0022,CWE-200
T1525,CVE-2018-15869,CWE-732
T1528,"CVE-2020-0884, CVE-2020-11651, CVE-2020-5300, CVE-2018-18641, CVE-2015-8562, CVE-2013-5054","CWE-319, CWE-306, CWE-294, CWE-312, CWE-20, CWE-200"
T1529,"CVE-2019-1817, CVE-2018-15397, CVE-2018-18995, CVE-2015-7925","CWE-20, NVD-CWE-noinfo, CWE-306, CWE-352"
T1531,CVE-2019-1689,CWE-20
T1533,CVE-2017-0493,CWE-922
T1539,"CVE-2020-9459, CVE-2019-6563, CVE-2013-3900","CWE-79, CWE-916, CWE-20"
T1542.001,"CVE-2020-5379, CVE-2020-5376, CVE-2020-5326, CVE-2020-5378, CVE-2019-1736, CVE-2016-5645, CVE-2015-7925","NVD-CWE-Other, CWE-416, CWE-306, CWE-416, CWE-347, CWE-284, CWE-352"
T1542.004,"CVE-2020-3513, CVE-2020-3416","CWE-94, CWE-94"
T1546,CVE-2012-0158,CWE-94
T1548,"CVE-2019-3717, CVE-2019-1812, CVE-2017-14486, CVE-2015-1539, CVE-2015-8562, CVE-2013-7246, CVE-2010-3765","NVD-CWE-noinfo, CWE-347, CWE-319, CWE-189, CWE-20, CWE-119, CWE-119"
T1548.002,"CVE-2013-5065, CVE-2008-0655","CWE-20, NVD-CWE-noinfo"
T1548.003,CVE-2018-15767,CWE-863
T1550,CVE-2014-7235,CWE-94
T1550.001,CVE-2018-15801,CWE-345
T1550.002,CVE-2010-5290,CWE-255
T1552,"CVE-2020-15105, CVE-2020-4408, CVE-2020-12008, CVE-2019-6549, CVE-2019-13922, CVE-2019-3787, CVE-2019-3763, CVE-2018-18641, CVE-2018-7259, CVE-2018-11749, CVE-2018-15797, CVE-2018-11088, CVE-2018-17900, CVE-2017-14487, CVE-2015-0984, CVE-2015-8562, CVE-2014-0751","CWE-312, CWE-522, CWE-319, CWE-522, CWE-311, CWE-640, CWE-532, CWE-312, CWE-319, CWE-319, CWE-532, NVD-CWE-noinfo, CWE-522, CWE-290, CWE-22, CWE-20, CWE-22"
T1552 ,CVE-2020-15095,CWE-532
T1552.001,"CVE-2020-3240, CVE-2019-9670, CVE-2019-3782, CVE-2019-3780, CVE-2018-7520, CVE-2014-1812, CVE-2010-5290","CWE-20, CWE-611, CWE-522, CWE-522, NVD-CWE-Other, CWE-255, CWE-255"
T1552.004,CVE-2018-7506,CWE-200
T1553,"CVE-2019-3762, CVE-2014-4077","CWE-295, CWE-264"
T1553.002,CVE-2014-4077,CWE-264
T1554,CVE-2012-0158,CWE-94
T1557,"CVE-2020-5271, CVE-2020-5336, CVE-2020-11035, CVE-2020-5264, CVE-2020-5266, CVE-2020-15093, CVE-2020-11082, CVE-2020-5270, CVE-2020-11023, CVE-2020-5269, CVE-2020-11030, CVE-2020-3137, CVE-2020-3233, CVE-2020-3349, CVE-2020-3356, CVE-2020-3121, CVE-2019-1943, CVE-2019-15994, CVE-2019-1665, CVE-2019-3754, CVE-2019-1715, CVE-2019-6538, CVE-2019-6538, CVE-2019-1860, CVE-2019-1941, CVE-2019-1838, CVE-2019-15280, CVE-2018-15393, CVE-2018-16179, CVE-2018-0622, CVE-2018-11087, CVE-2018-15784, CVE-2018-10610, CVE-2018-14809, CVE-2015-7931, CVE-2015-7931, CVE-2014-3566, CVE-2014-4077, CVE-2012-3015","CWE-79, CWE-74, CWE-327, CWE-79, CWE-79, CWE-347, CWE-79, CWE-601, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-601, CWE-79, CWE-79, CWE-79, CWE-332, CWE-862, CWE-306, CWE-99, CWE-79, CWE-79, CWE-79, CWE-79, CWE-295, CWE-295, CWE-295, CWE-295, CWE-787, CWE-416, CWE-20, CWE-200, CWE-310, CWE-264, NVD-CWE-Other"
T1558.001,CVE-2014-6324,CWE-264
T1562,"CVE-2019-18581, CVE-2019-12660, CVE-2018-17892, CVE-2018-17908","CWE-862, CWE-668, NVD-CWE-noinfo, CWE-284"
T1563,"CVE-2020-5290, CVE-2019-12258, CVE-2019-3784, CVE-2019-3790, CVE-2019-18573, CVE-2019-1724, CVE-2019-16782, CVE-2018-8852","CWE-384, CWE-384, CWE-384, CWE-613, CWE-384, CWE-287, CWE-203, CWE-384"
T1565,"CVE-2020-1068, CVE-2020-16874, CVE-2020-1569, CVE-2020-1109, CVE-2020-5225, CVE-2020-15109, CVE-2020-1495, CVE-2020-9459, CVE-2020-1111, CVE-2020-6974, CVE-2020-1456, CVE-2020-0671, CVE-2019-1118, CVE-2019-1270, CVE-2019-1423, CVE-2019-1031, CVE-2019-0609, CVE-2019-15821, CVE-2018-18667, CVE-2018-19830, CVE-2018-19831, CVE-2018-8337, CVE-2018-17877, CVE-2018-8111, CVE-2018-8607, CVE-2018-8248, CVE-2018-8575, CVE-2018-8353, CVE-2018-8110, CVE-2018-8431, CVE-2018-8355, CVE-2013-4335, CVE-2012-0158","NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-787, NVD-CWE-noinfo, CWE-532, CWE-862, NVD-CWE-noinfo, CWE-79, NVD-CWE-noinfo, CWE-22, CWE-79, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-59, CWE-59, CWE-79, CWE-787, NVD-CWE-noinfo, CWE-190, CWE-862, CWE-287, CWE-178, CWE-338, CWE-787, CWE-79, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-416, CWE-787, CWE-79, CWE-787, CWE-776, CWE-94"
T1565.001,"CVE-2020-5345, CVE-2020-11010, CVE-2020-3476, CVE-2020-3309, CVE-2020-9819, CVE-2020-3440, CVE-2020-3237, CVE-2019-5954, CVE-2019-18234, CVE-2019-1689, CVE-2019-1836, CVE-2019-3786, CVE-2019-15972, CVE-2019-1942, CVE-2019-1863, CVE-2018-19833, CVE-2018-5459, CVE-2008-4996","CWE-862, CWE-89, CWE-552, CWE-787, CWE-787, CWE-22, CWE-59, NVD-CWE-noinfo, CWE-89, CWE-20, CWE-59, CWE-345, CWE-89, CWE-89, NVD-CWE-Other, CWE-287, CWE-287, CWE-59"
T1565.002,"CVE-2020-3460, CVE-2019-1943, CVE-2019-15974","CWE-79, CWE-601, CWE-20"
T1565.003,CVE-2018-10299,CWE-190
T1566,"CVE-2020-1569, CVE-2020-4068, CVE-2020-1495, CVE-2020-1020, CVE-2020-3198, CVE-2020-3322, CVE-2020-3440, CVE-2019-0609, CVE-2019-1013, CVE-2019-15276, CVE-2019-1915, CVE-2019-1772, CVE-2019-1831, CVE-2018-15376, CVE-2018-8111, CVE-2018-8110, CVE-2018-8575, CVE-2018-8353, CVE-2018-8160, CVE-2018-15782, CVE-2017-15211, CVE-2017-8759, CVE-2017-11847, CVE-2017-14487, CVE-2013-3906, CVE-2012-6467","CWE-787, CWE-122, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-787, CWE-20, CWE-22, CWE-787, CWE-200, CWE-20, CWE-352, CWE-119, CWE-20, CWE-123, CWE-787, CWE-787, NVD-CWE-noinfo, CWE-416, CWE-200, CWE-22, CWE-639, CWE-20, NVD-CWE-noinfo, CWE-290, CWE-94, NVD-CWE-noinfo"
T1566.001,"CVE-2020-3133, CVE-2019-6340","CWE-20, CWE-502"
T1566.002,"CVE-2020-15233, CVE-2020-5270, CVE-2019-3788, CVE-2019-3778, CVE-2018-11067","CWE-601, CWE-601, CWE-601, CWE-601, CWE-601"
T1569,CVE-2014-1761,CWE-119
T1574,"CVE-2020-1569, CVE-2020-16874, CVE-2020-15199, CVE-2020-1495, CVE-2020-11039, CVE-2020-11068, CVE-2020-5253, CVE-2020-15208, CVE-2020-15208, CVE-2020-4068, CVE-2020-15211, CVE-2020-15211, CVE-2020-5210, CVE-2020-1425, CVE-2020-5254, CVE-2020-15100, CVE-2020-1109, CVE-2020-0671, CVE-2020-4100, CVE-2020-0688, CVE-2020-3309, CVE-2020-3198, CVE-2020-0898, CVE-2019-1118, CVE-2019-0576, CVE-2019-13522, CVE-2019-0911, CVE-2019-0708, CVE-2019-1106, CVE-2019-1035, CVE-2019-0926, CVE-2019-0609, CVE-2019-1052, CVE-2019-3723, CVE-2019-6538, CVE-2019-6538, CVE-2019-10980, CVE-2019-12660, CVE-2018-15376, CVE-2018-8111, CVE-2018-14819, CVE-2018-7499, CVE-2018-8248, CVE-2018-8353, CVE-2018-11049, CVE-2018-8110, CVE-2018-10620, CVE-2018-18987, CVE-2018-10636, CVE-2018-7494, CVE-2018-17910, CVE-2018-8835, CVE-2018-8355, CVE-2018-14809, CVE-2018-10610","CWE-787, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, CWE-190, CWE-120, CWE-269, CWE-787, CWE-125, CWE-122, CWE-787, CWE-125, CWE-120, NVD-CWE-noinfo, CWE-119, CWE-770, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-913, CWE-798, CWE-787, CWE-787, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-787, CWE-787, CWE-416, CWE-787, NVD-CWE-noinfo, CWE-787, CWE-787, CWE-787, CWE-20, CWE-862, CWE-306, CWE-843, CWE-668, CWE-123, CWE-787, CWE-125, CWE-787, NVD-CWE-noinfo, CWE-416, CWE-427, CWE-787, CWE-787, CWE-502, CWE-787, CWE-119, CWE-119, CWE-415, CWE-787, CWE-416, CWE-787"
T1574.001,"CVE-2019-10971, CVE-2018-10657, CVE-2009-0238","CWE-426, CWE-20, CWE-94"
T1574.002,CVE-2010-1592,CWE-20
T1574.008,"CVE-2019-1794, CVE-2018-11049, CVE-2012-1854","CWE-427, CWE-427, NVD-CWE-Other"
T1575,"CVE-2019-10987, CVE-2019-13541, CVE-2018-17911, CVE-2018-14802","CWE-787, CWE-787, CWE-787, CWE-119"
T1588.004,CVE-2019-3762,CWE-295
T1589,CVE-2020-15132,CWE-209
T1600,CVE-2018-11069,CWE-327
T1608,"CVE-2020-3379, CVE-2019-0797, CVE-2019-1768, CVE-2019-1857, CVE-2019-1781, CVE-2019-16009, CVE-2019-15288, CVE-2018-19320, CVE-2018-8440, CVE-2018-8453, CVE-2018-15401, CVE-2018-15466, CVE-2016-0165, CVE-2016-0167, CVE-2016-7255, CVE-2016-0728, CVE-2015-2546, CVE-2015-6175, CVE-2014-4076, CVE-2013-3660, CVE-2013-6282, CVE-2012-2319, CVE-2011-1249, CVE-2010-3081, CVE-2010-0232, CVE-2010-3338, CVE-2008-3431","CWE-20, NVD-CWE-noinfo, CWE-78, CWE-352, CWE-88, CWE-352, CWE-20, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-404, CWE-352, CWE-306, CWE-264, CWE-264, CWE-264, NVD-CWE-Other, CWE-119, CWE-264, CWE-264, CWE-119, CWE-20, CWE-264, CWE-264, CWE-119, CWE-264, CWE-20, CWE-264"
